"FilePath","Keywords","FileName"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\(2025)冀09民终4719号-未如实告知拒赔-维持原判.md","重疾险、未如实告知、脑中风后遗症、哮喘、提示说明义务","(2025)冀09民终4719号-未如实告知拒赔-维持原判"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\(2025)浙0402民初14539号-未如实告知拒赔-支持赔付.md","重疾险、未如实告知、互联网投保、甲状腺癌、强制阅读时间、续保","(2025)浙0402民初14539号-未如实告知拒赔-支持赔付"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\(2025)鄂07民终1265号-未如实告知拒赔-改判支持.md","重疾险、未如实告知、概括性询问、胃恶性肿瘤、甲状腺手术史、因果关系","(2025)鄂07民终1265号-未如实告知拒赔-改判支持"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\2020-川01民终3351-未如实告知拒赔-败诉.md","未如实告知 多份投保 重疾险 同业投保 最大诚信原则","2020-川01民终3351-未如实告知拒赔-败诉"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\2023-津01民终7819-未如实告知拒赔-败诉.md","如实告知义务 主观故意 解除权 保险从业人员 甲状腺结节 同业投保","2023-津01民终7819-未如实告知拒赔-败诉"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\2023-粤19民终11884-未如实告知拒赔-败诉.md","未如实告知, 健康告知, 体检异常, 故意隐瞒, 线上投保, 解除合同","2023-粤19民终11884-未如实告知拒赔-败诉"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\2025-冀09民终4719-未如实告知拒赔-二审维持.md","未如实告知拒赔、脑中风后遗症、支气管哮喘、重大疾病、匿名案件","2025-冀09民终4719-未如实告知拒赔-二审维持"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\2025-浙0402民初14539-未如实告知拒赔-一审.md","未如实告知拒赔、甲状腺结节、甲状腺微小乳头状癌、线上投保、健康告知、匿名案件","2025-浙0402民初14539-未如实告知拒赔-一审"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\2025-鄂07民终1265-未如实告知拒赔-二审改判.md","未如实告知拒赔、恶性肿瘤、甲状腺肿瘤手术史、慢性浅表性胃炎、概括性询问、健康问卷、匿名案件","2025-鄂07民终1265-未如实告知拒赔-二审改判"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\2026-二审法院-人保健康高血压未告知-胜诉.md","高血压 健康告知 强制阅读 弹窗提示 如实告知义务 互联网投保","2026-二审法院-人保健康高血压未告知-胜诉"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\2026-信阳浉河区法院-未如实告知拒赔-胜诉.md","腔隙性脑梗塞 病历真实性 因果关系 免责条款说明义务 白血病","2026-信阳浉河区法院-未如实告知拒赔-胜诉"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\2026-北京海淀法院-肺结节未如实告知-胜诉.md","肺结节 磨玻璃结节 未如实告知 健康告知 进一步检查 定期复查 询问告知","2026-北京海淀法院-肺结节未如实告知-胜诉"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\2026-满洲里市法院-肾炎未告知乳腺恶性肿瘤-未如实告知拒赔-胜诉.md","未如实告知 肾炎 乳腺恶性肿瘤 因果关系 已治愈 不同脏器 承保决策","2026-满洲里市法院-肾炎未告知乳腺恶性肿瘤-未如实告知拒赔-胜诉"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\乙肝未告知与胰腺炎无因果关系胜诉案.md","因果关系 未如实告知 乙肝 胰腺炎 重大过失 解除合同 保险金支付","乙肝未告知与胰腺炎无因果关系胜诉案"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\刘某两年不可抗辩条款肾病史案.md","两年不可抗辩 起算 保险事故发生日 确诊日 申请日 终末期肾病","刘某两年不可抗辩条款肾病史案"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\孟某两年不可抗辩颅内占位案.md","两年不可抗辩 颅内占位 合同成立 解除合同 投保人 保费缴纳","孟某两年不可抗辩颅内占位案"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\待确认-上海浦东梁女士-未如实告知拒赔-胜诉.md","未如实告知 兜底提问 主诉 重疾险 网络投保 腺样囊性癌","待确认-上海浦东梁女士-未如实告知拒赔-胜诉"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\徐某糖尿病高血压未如实告知案.md","如实告知 故意 糖尿病 高血压 慢性病 认知程度 询问义务","徐某糖尿病高血压未如实告知案"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\批量未告知案例1.md","未如实告知 因果关系 询问义务 三年不抗辩 举证责任","批量未告知案例1"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\批量未告知案例10.md","未如实告知 因果关系 询问义务 三年不抗辩 举证责任","批量未告知案例10"
"D:\Claude\wyt知识库\02-Areas\判例库\01-重疾险\01-未如实告知拒赔\判例\批量未告知案例11.md","未如实告知 因果关系 询问义务 三年不抗辩 举证责任","批量未告知案例11"
